run_id,seed,Teacher_mse,Teacher_mae,Student_TaskOnly_mse,Student_TaskOnly_mae,Student_RDT_mse,Student_RDT_mae,Student_Follower_mse,Student_Follower_mae,teacher_model_path,student_task_only_model_path,student_rdt_model_path,student_follower_model_path
0,42,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run0_seed42.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run0_seed42.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run0_seed42.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run0_seed42.pt
1,43,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run1_seed43.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run1_seed43.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run1_seed43.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run1_seed43.pt
2,44,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run2_seed44.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run2_seed44.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run2_seed44.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run2_seed44.pt
3,45,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run3_seed45.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run3_seed45.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run3_seed45.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run3_seed45.pt
4,46,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run4_seed46.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run4_seed46.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run4_seed46.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run4_seed46.pt
5,47,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run5_seed47.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run5_seed47.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run5_seed47.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run5_seed47.pt
6,48,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run6_seed48.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run6_seed48.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run6_seed48.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run6_seed48.pt
7,49,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run7_seed49.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run7_seed49.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run7_seed49.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run7_seed49.pt
8,50,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run8_seed50.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run8_seed50.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run8_seed50.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run8_seed50.pt
9,51,0.0008711434784345329,0.02234363928437233,0.0012619607150554657,0.026460284367203712,0.0009503635228611529,0.022971924394369125,0.0008994984673336148,0.0224013589322567,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\teacher_DLinear_run9_seed51.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_task_only_run9_seed51.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_rdt_run9_seed51.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\exchange_rate_DLinear_PatchTST_20250502_211442\models\student_PatchTST_follower_run9_seed51.pt
