Noise Level (std ratio),mse,mae
noise_0.01,23.981624603271484,3.5342984199523926
noise_0.02,23.990774154663086,3.534851312637329
noise_0.03,23.995044708251953,3.535127639770508
noise_0.05,23.996240615844727,3.5360121726989746
noise_0.07,24.013687133789062,3.538220167160034
noise_0.1,24.0389347076416,3.542065382003784
noise_0.12,24.08180809020996,3.546598434448242
noise_0.15,24.15557098388672,3.5533056259155273
noise_0.18,24.250165939331055,3.564142942428589
noise_2,51.925384521484375,5.395049095153809
